[2026-05-21 01:45:25] CSV_WRITE | proposals.csv | 232 rows, 20 fields
[2026-05-21 12:08:51] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:52] CSV_WRITE | proposals.csv | 240 rows, 20 fields
[2026-05-21 12:08:52] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:52] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:52] CSV_WRITE | proposals.csv | 240 rows, 20 fields
[2026-05-21 12:08:52] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:52] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:52] CSV_WRITE | proposals.csv | 240 rows, 20 fields
[2026-05-21 12:08:52] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:52] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:52] CSV_WRITE | proposals.csv | 240 rows, 20 fields
[2026-05-21 12:08:52] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:52] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:53] CSV_WRITE | proposals.csv | 240 rows, 20 fields
[2026-05-21 12:08:53] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:53] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:53] CSV_WRITE | proposals.csv | 240 rows, 20 fields
[2026-05-21 12:08:53] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:53] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:53] CSV_WRITE | proposals.csv | 240 rows, 20 fields
[2026-05-21 12:08:53] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:53] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:53] CSV_WRITE | proposals.csv | 240 rows, 20 fields
[2026-05-21 12:08:53] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:53] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:08:54] CSV_WRITE | proposals.csv | 240 rows, 20 fields
[2026-05-21 12:10:15] CSV_WRITE | proposals.csv | 240 rows, 20 fields
[2026-05-21 12:27:10] CSV_WRITE | proposals.csv | 241 rows, 20 fields
[2026-05-21 12:27:10] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:28:12] CSV_WRITE | proposals.csv | 241 rows, 20 fields
[2026-05-21 12:31:26] CSV_WRITE | proposals.csv | 241 rows, 20 fields
[2026-05-21 12:34:46] CSV_WRITE | proposals.csv | 241 rows, 20 fields
[2026-05-21 12:38:33] ERROR | die | Proposal ID already exists: P-20260521-009
[2026-05-21 12:38:41] ERROR | die | Proposal ID already exists: P-20260521-010
[2026-05-21 12:38:49] CSV_WRITE | proposals.csv | 242 rows, 20 fields
[2026-05-21 12:38:49] CSV_WRITE | projects.csv | 69 rows, 8 fields
[2026-05-21 12:39:52] ERROR | die | Invalid acceptance: sync-to-index 验证通过：CSV 243行 → proposal-index.md 242提案，0 issues，proposal-index.md 正确派生, valid: {'', 'pending', 'rejected', 'accepted'}
[2026-05-21 12:39:55] ERROR | die | Invalid acceptance: sync-to-index验证通过, valid: {'', 'pending', 'rejected', 'accepted'}
[2026-05-21 12:40:01] CSV_WRITE | proposals.csv | 242 rows, 20 fields
[2026-05-21 12:41:16] CSV_WRITE | proposals.csv | 242 rows, 20 fields
[2026-05-21 20:08:45] ERROR | die | Project does not exist: PRJ-20260521-001
[2026-05-21 20:09:00] CSV_WRITE | projects.csv | 0 rows, 4 fields
[2026-05-21 20:09:05] CSV_WRITE | proposals.csv | 0 rows, 20 fields
[2026-05-21 20:09:05] CSV_WRITE | projects.csv | 0 rows, 4 fields
[2026-05-21 20:16:30] CSV_WRITE | proposals.csv | 0 rows, 20 fields
[2026-05-21 20:23:17] CSV_WRITE | projects.csv | 1 rows, 4 fields
[2026-05-21 20:23:27] CSV_WRITE | proposals.csv | 1 rows, 20 fields
[2026-05-21 20:23:27] CSV_WRITE | projects.csv | 1 rows, 4 fields
[2026-05-21 20:35:00] CSV_WRITE | proposals.csv | 1 rows, 20 fields
[2026-05-21 20:35:31] CSV_WRITE | proposals.csv | 1 rows, 20 fields
[2026-05-21 21:10:07] CSV_WRITE | proposals.csv | 1 rows, 20 fields
[2026-05-22 00:22:36] CSV_WRITE | proposals.csv | 224 rows, 22 fields
[2026-05-22 00:24:08] CSV_WRITE | proposals.csv | 238 rows, 22 fields
[2026-05-22 00:24:08] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:35:54] CSV_WRITE | proposals.csv | 238 rows, 22 fields
[2026-05-22 00:38:54] ERROR | die | Proposal 'P-20260521-007' not found in CSV
[2026-05-22 00:39:28] CSV_WRITE | proposals.csv | 239 rows, 22 fields
[2026-05-22 00:39:28] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:39:41] CSV_WRITE | proposals.csv | 239 rows, 22 fields
[2026-05-22 00:44:54] CSV_WRITE | proposals.csv | 240 rows, 22 fields
[2026-05-22 00:44:54] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:44:56] CSV_WRITE | proposals.csv | 241 rows, 22 fields
[2026-05-22 00:44:56] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:44:58] ERROR | die | Proposal ID already exists: P-20260522-001
[2026-05-22 00:44:58] CSV_WRITE | proposals.csv | 241 rows, 22 fields
[2026-05-22 00:45:13] CSV_WRITE | proposals.csv | 242 rows, 22 fields
[2026-05-22 00:45:13] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:45:29] CSV_WRITE | proposals.csv | 242 rows, 22 fields
[2026-05-22 00:46:00] ERROR | die | Proposal ID already exists: P-20260522-003
[2026-05-22 00:47:09] ERROR | die | Proposal ID already exists: P-20260522-003
[2026-05-22 00:47:35] CSV_WRITE | proposals.csv | 242 rows, 22 fields
[2026-05-22 00:47:37] ERROR | die | Proposal ID already exists: P-20260522-001
[2026-05-22 00:47:37] ERROR | die | Proposal ID already exists: P-20260522-002
[2026-05-22 00:47:37] ERROR | die | Proposal ID already exists: P-20260522-003
[2026-05-22 00:47:38] ERROR | die | Proposal ID already exists: P-20260522-004
[2026-05-22 00:47:38] ERROR | die | Proposal ID already exists: P-20260522-005
[2026-05-22 00:47:38] CSV_WRITE | proposals.csv | 243 rows, 22 fields
[2026-05-22 00:47:38] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:47:38] CSV_WRITE | proposals.csv | 244 rows, 22 fields
[2026-05-22 00:47:38] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:47:39] CSV_WRITE | proposals.csv | 245 rows, 22 fields
[2026-05-22 00:47:39] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:47:39] CSV_WRITE | proposals.csv | 246 rows, 22 fields
[2026-05-22 00:47:39] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:47:39] CSV_WRITE | proposals.csv | 247 rows, 22 fields
[2026-05-22 00:47:39] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:47:40] ERROR | die | Proposal ID already exists: P-20260522-006
[2026-05-22 00:47:41] CSV_WRITE | proposals.csv | 248 rows, 22 fields
[2026-05-22 00:47:41] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:47:55] CSV_WRITE | proposals.csv | 249 rows, 22 fields
[2026-05-22 00:47:55] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:48:06] ERROR | die | Proposal ID already exists: P-20260522-011
[2026-05-22 00:48:07] ERROR | die | Proposal ID already exists: P-20260522-012
[2026-05-22 00:48:07] CSV_WRITE | proposals.csv | 250 rows, 22 fields
[2026-05-22 00:48:07] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:48:07] CSV_WRITE | proposals.csv | 251 rows, 22 fields
[2026-05-22 00:48:07] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:48:07] CSV_WRITE | proposals.csv | 252 rows, 22 fields
[2026-05-22 00:48:07] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:48:08] CSV_WRITE | proposals.csv | 253 rows, 22 fields
[2026-05-22 00:48:08] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:48:08] CSV_WRITE | proposals.csv | 254 rows, 22 fields
[2026-05-22 00:48:08] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:48:08] CSV_WRITE | proposals.csv | 255 rows, 22 fields
[2026-05-22 00:48:08] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:48:08] CSV_WRITE | proposals.csv | 256 rows, 22 fields
[2026-05-22 00:48:08] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:49:22] CSV_WRITE | proposals.csv | 257 rows, 22 fields
[2026-05-22 00:49:22] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:49:22] CSV_WRITE | proposals.csv | 258 rows, 22 fields
[2026-05-22 00:49:22] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:49:30] ERROR | die | Proposal ID already exists: P-20260522-006
[2026-05-22 00:49:38] CSV_WRITE | proposals.csv | 259 rows, 22 fields
[2026-05-22 00:49:38] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:50:06] ERROR | die | Operation failed: 'Namespace' object has no attribute 'id'
[2026-05-22 00:50:35] ERROR | die | Operation failed: 'Namespace' object has no attribute 'id'
[2026-05-22 00:51:45] CSV_WRITE | proposals.csv | 260 rows, 22 fields
[2026-05-22 00:51:45] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 00:53:06] ERROR | die | dict contains fields not in fieldnames: 'research_direction', 'deployment_branch'
[2026-05-22 00:53:10] ERROR | die | dict contains fields not in fieldnames: 'deployment_branch', 'research_direction'
[2026-05-22 00:54:49] ERROR | die | Operation failed: [Errno 32] Broken pipe
[2026-05-22 00:56:27] CSV_WRITE | proposals.csv | 260 rows, 22 fields
[2026-05-22 00:58:00] CSV_WRITE | proposals.csv | 260 rows, 22 fields
[2026-05-22 01:00:15] ERROR | die | Project does not exist: PRJ-20260522-001
[2026-05-22 01:00:22] CSV_WRITE | proposals.csv | 261 rows, 22 fields
[2026-05-22 01:00:22] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 01:04:33] CSV_WRITE | proposals.csv | 261 rows, 22 fields
[2026-05-22 01:04:33] CSV_WRITE | projects.csv | 71 rows, 8 fields
[2026-05-22 01:05:54] CSV_WRITE | proposals.csv | 248 rows, 22 fields
[2026-05-22 01:06:28] CSV_WRITE | projects.csv | 72 rows, 8 fields
[2026-05-22 01:06:28] CSV_WRITE | projects.csv | 73 rows, 8 fields
[2026-05-22 01:06:29] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:06:50] CSV_WRITE | proposals.csv | 249 rows, 22 fields
[2026-05-22 01:06:50] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:06:59] ERROR | die | Operation failed: 'Namespace' object has no attribute 'status'
[2026-05-22 01:07:36] CSV_WRITE | proposals.csv | 250 rows, 22 fields
[2026-05-22 01:07:44] ERROR | die | Operation failed: 'Namespace' object has no attribute 'before'
[2026-05-22 01:07:52] CSV_WRITE | proposals.csv | 251 rows, 22 fields
[2026-05-22 01:07:52] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:08:30] ERROR | die | dict contains fields not in fieldnames: None
[2026-05-22 01:08:35] ERROR | die | dict contains fields not in fieldnames: None
[2026-05-22 01:08:44] ERROR | die | dict contains fields not in fieldnames: None
[2026-05-22 01:08:49] CSV_WRITE | proposals.csv | 249 rows, 22 fields
[2026-05-22 01:08:49] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:09:03] CSV_WRITE | proposals.csv | 250 rows, 22 fields
[2026-05-22 01:09:04] CSV_WRITE | proposals.csv | 250 rows, 22 fields
[2026-05-22 01:09:04] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:09:04] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:09:28] CSV_WRITE | proposals.csv | 250 rows, 22 fields
[2026-05-22 01:09:44] CSV_WRITE | proposals.csv | 250 rows, 22 fields
[2026-05-22 01:09:54] CSV_WRITE | proposals.csv | 251 rows, 22 fields
[2026-05-22 01:09:54] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:11:02] CSV_WRITE | proposals.csv | 251 rows, 22 fields
[2026-05-22 01:11:02] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:20:53] CSV_WRITE | proposals.csv | 252 rows, 22 fields
[2026-05-22 01:20:53] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:20:57] ERROR | die | Proposal not found: P-20260522-027
[2026-05-22 01:21:14] CSV_WRITE | proposals.csv | 253 rows, 22 fields
[2026-05-22 01:21:14] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:22:00] CSV_WRITE | proposals.csv | 254 rows, 22 fields
[2026-05-22 01:22:00] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:22:54] CSV_WRITE | proposals.csv | 255 rows, 22 fields
[2026-05-22 01:22:54] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:27:22] CSV_WRITE | proposals.csv | 257 rows, 22 fields
[2026-05-22 01:27:22] CSV_WRITE | projects.csv | 74 rows, 8 fields
[2026-05-22 01:27:48] ERROR | die | Operation failed: cannot access local variable 'project' where it is not associated with a value
[2026-05-22 01:31:35] ERROR | die | Operation failed: name 'issues' is not defined
[2026-05-22 01:32:21] ERROR | die | Operation failed: name 'issues' is not defined
[2026-05-22 01:34:11] CSV_WRITE | proposals.csv | 257 rows, 22 fields
[2026-05-22 01:35:59] CSV_WRITE | proposals.csv | 257 rows, 22 fields
[2026-05-22 01:36:14] CSV_WRITE | proposals.csv | 257 rows, 22 fields
[2026-05-22 01:44:37] ERROR | die | Project does not exist: PRJ-pixel-pal-web
[2026-05-22 01:44:46] ERROR | die | Proposal ID already exists: P-20260522-030
[2026-05-22 01:44:49] ERROR | die | Proposal ID already exists: P-20260522-001
[2026-05-22 01:44:50] ERROR | die | Proposal ID already exists: P-20260522-001
[2026-05-22 01:44:59] ERROR | die | Operation failed: cannot access local variable 'project' where it is not associated with a value
[2026-05-22 01:45:08] ERROR | die | Operation failed: cannot access local variable 'project' where it is not associated with a value
[2026-05-22 01:45:43] ERROR | die | Proposal ID already exists: P-20260522-030
[2026-05-22 01:46:00] ERROR | die | Proposal ID already exists: P-20260522-030
[2026-05-22 01:46:13] ERROR | die | Proposal ID already exists: P-20260522-035
[2026-05-22 01:46:20] ERROR | die | Proposal ID already exists: P-20260522-001
[2026-05-22 01:46:42] ERROR | die | Operation failed: cannot access local variable 'project' where it is not associated with a value
[2026-05-22 01:47:14] ERROR | die | Proposal ID already exists: P-20260522-001
[2026-05-22 01:49:34] ERROR | die | Proposal ID already exists: P-20260522-037
[2026-05-22 01:49:46] ERROR | die | Operation failed: cannot access local variable 'project' where it is not associated with a value
[2026-05-22 01:52:59] ERROR | die | Operation failed: cannot access local variable 'project' where it is not associated with a value
[2026-05-22 01:53:23] ERROR | die | dict contains fields not in fieldnames: None
[2026-05-22 01:55:26] CSV_WRITE | proposals.csv | 259 rows, 22 fields
[2026-05-22 01:58:11] CSV_WRITE | proposals.csv | 165 rows, 22 fields
[2026-05-22 02:05:13] CSV_WRITE | proposals.csv | 167 rows, 20 fields
[2026-05-22 02:12:47] ERROR | die | Proposal ID already exists: P-20260522-036
[2026-05-22 07:45:33] ERROR | die | Proposal ID already exists: P-20260522-038
[2026-05-22 07:45:49] ERROR | die | Proposal ID already exists: P-20260522-039
[2026-05-22 07:47:24] ERROR | die | Operation failed: cannot access local variable 'project' where it is not associated with a value
[2026-05-22 07:47:31] ERROR | die | Operation failed: cannot access local variable 'project' where it is not associated with a value
[2026-05-22 07:48:37] CSV_WRITE | proposals.csv | 168 rows, 20 fields
[2026-05-22 07:51:19] ERROR | die | dict contains fields not in fieldnames: None
[2026-05-22 07:56:34] ERROR | die | dict contains fields not in fieldnames: None
[2026-05-22 09:15:00] ERROR | die | Project does not exist: PRJ-20260422-001
[2026-05-22 09:15:12] ERROR | die | dict contains fields not in fieldnames: 'last_update', 'local_path', 'description'
[2026-05-22 09:15:22] ERROR | die | Proposal ID already exists: P-20260522-046
[2026-05-22 09:15:32] ERROR | die | dict contains fields not in fieldnames: None
[2026-05-22 09:15:56] ERROR | die | Project does not exist: PRJ-20260430-002
[2026-05-22 09:16:05] ERROR | die | Operation failed: cannot access local variable 'project' where it is not associated with a value
[2026-05-22 09:16:27] ERROR | die | Operation failed: cannot access local variable 'project' where it is not associated with a value
