id,title,owner,status,project_id,project_name,stage,prd_path,tech_solution_path,project_path,deployment_branch,prd_confirmation,tech_expectations,acceptance,research_direction,last_update,engine,target,game_type,notes
P-20260504-3009,,,in_dev,PRJ-20260418-004,future-little-leaders,,,,,,,,,,,,,,
P-20260505-012,PRD: ai-subscription — RSS/Atom 智能解析增强,,in_dev,PRJ-20260418-004,future-little-leaders,,,,,,,,,,2026-05-05,,,,
P-20250418-005,,,active,PRJ-20260418-005,todo-app,,,,,,,,,,,,,,
P-20260419-001,Proposal Request Intake,,in_dev,PRJ-20260419-001,temple-run,,,,,,,,,,2026-04-19,,,,
P-20260505-081,,,archived,PRJ-20260419-001,temple-run,,,,,,,,,,,,,,
P-20260504-070,PRD: creative-drawing-board V47 — 模板预览动画,,archived,PRJ-20260419-001,temple-run,,,,,,,,,,2026-05-05,,,,
P-20250419-002,,,active,PRJ-20260419-002,tank-battle,,,,,,,,,,,,,,
P-20260419-003,别踩白块（Web + PWA）— 需求概述,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,2026-04-19,,,,
P-20260504-004,P-20260504-004: PixelPal V16 — 场景模式/自动化,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,2026-05-04,,,,
P-20260504-009,PRD: ai-subscription — 阅读列表 + 稍后读,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,2026-05-05,,,,
P-20260504-010,P-20260504-010 PRD: 遗物系统扩展,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,2026-05-04,,,,
P-20260504-011,P-20260504-011 PRD: 卡牌升级系统扩展,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,2026-05-04,,,,
P-20260504-012,P-20260504-012 PRD: UI优化 — 卡牌动画、战斗特效、界面布局改进,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,2026-05-04,,,,
P-20260504-013,P-20260504-013 PRD: 章节Boss战后商店,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,2026-05-04,,,,
P-20260504-014,P-20260504-014 PRD: 战斗后牌组构建系统,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,2026-05-04,,,,
P-20260504-015,P-20260504-015 PRD: 卡牌融合系统,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,2026-05-04,,,,
P-20260504-016,P-20260504-016 PRD: 宠物进化系统,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,2026-05-04,,,,
P-20260504-018,P-20260504-018 PRD: 流派套装效果系统,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,2026-05-04,,,,
P-20260504-3024,,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,,,,,
P-20260504-3027,,,active,PRJ-20260419-003,dont-step-white,,,,,,,,,,,,,,
P-20260419-004,,,active,PRJ-20260419-005,TradingAgents-CN,,,,,,,,,,,,,,
P-20260504-3046,,,active,PRJ-20260419-005,TradingAgents-CN,,,,,,,,,,,,,,
P-20250421-003,,,active,PRJ-20260421-003,personalClaw,,,,,,,,,,,,,,
P-20250421-002,,,active,PRJ-20260422-001,ai-novel-assistant,,,,,,,,,,,,,,
P-20260502-001,Proposal Intake — P-20260502-001,,in_dev,PRJ-20260422-001,ai-novel-assistant,| 交付物 |,,,,,,,,,2026-05-02,,,,
P-20260502-002,Intake — P-20260502-002,,active,PRJ-20260422-001,ai-novel-assistant,| 交付物 |,,,,,,,,,2026-05-02,,,,
P-20260502-003,Intake — P-20260502-003,,in_dev,PRJ-20260422-001,ai-novel-assistant,| 内容 | 交付物 |,,,,,,,,,2026-05-02,,,,
P-20260504-3001,,,active,PRJ-20260422-001,ai-novel-assistant,,,,,,,,,,,,,,
P-20260504-3054,,,in_dev,PRJ-20260422-001,ai-novel-assistant,,,,,,,,,,,,,,
P-20260422-001,PRD — 解谜游戏：房间逃脱,,in_dev,PRJ-20260423-001,room-escape-puzzle,**5个关卡**,,,,,,,,,2026-04-22,,,,
P-20260422-005,,,in_dev,PRJ-20260423-002,little-garden,,,,,,,,,,,,,,
P-20260419-005,PRD: Hermes Agent 团队协作增强,,in_dev,PRJ-20260423-005,hermes-agent-collab,### Phase 1: 基础框架（1-2 周）,,,,,,,,,2026-04-19,,,,
P-20260504-3055,,,active,PRJ-20260423-005,hermes-agent-collab,,,,,,,,,,,,,,
P-20260424-002,P-20260424-002: Hermes 协作服务器消息转发机制重构,,active,PRJ-20260423-005,hermes-agent-collab,| 内容 | 交付物 |,,,,,,,,,2026-04-24,,,,
P-20260424-001,,,active,PRJ-20260424-001,OpenMAIC,,,,,,,,,,,,,,
P-20260422-003,,,in_dev,PRJ-20260424-004,match3-puzzle,,,,,,,,,,,,,,
P-20250416-003,PRD: React Native 安卓计算器,,active,PRJ-20260426-003,calculator-app,,,,,,,,,,2026-04-16,,,,
P-20260426-001,,,in_dev,PRJ-20260427-001,preschool-puzzle,,,,,,,,,,,,,,
P-20260504-3096,,,in_dev,PRJ-20260427-001,preschool-puzzle,,,,,,,,,,,,,,
P-20260427-001,PRD - 3D飞行棋（Flight Chess 3D）,,in_dev,PRJ-20260428-002,flight-chess-3d,,,,,,,,,,2026-04-27,,,,
P-20260502-004,Harness Desktop v3 - PRD,,in_dev,PRJ-20260428-002,flight-chess-3d,,,,,,,,,,2026-05-02,,,,
P-20260502-005,PRD - 3D飞行棋 AI对战 迭代功能,,active,PRJ-20260428-002,flight-chess-3d,,,,,,,,,,2026-05-02,,,,
P-20260504-3032,,,in_dev,PRJ-20260428-002,flight-chess-3d,,,,,,,,,,,,,,
P-20260504-3035,,,active,PRJ-20260428-002,flight-chess-3d,,,,,,,,,,,,,,
P-20260504-3040,,,in_dev,PRJ-20260428-002,flight-chess-3d,,,,,,,,,,,,,,
P-20260504-3041,,,in_dev,PRJ-20260428-002,flight-chess-3d,,,,,,,,,,,,,,
P-20260504-3043,,,in_dev,PRJ-20260428-002,flight-chess-3d,,,,,,,,,,,,,,
P-20260429-001,PRD — 3D打地鼠 V2: 道具/关卡/皮肤系统,,in_dev,PRJ-20260428-001,whack-a-mole-3d,| 内容 | 周期 |,,,,,,,,,2026-04-29,,,,
P-20260430-001,P-20260430-001: 3D打地鼠 V3 — 每日任务+经济循环,,in_dev,PRJ-20260428-001,whack-a-mole-3d,,,,,,,,,,2026-04-30,,,,
P-20260430-002,P-20260430-002: 3D打地鼠 V3 — 新世界+Boss战,,in_dev,PRJ-20260428-001,whack-a-mole-3d,,,,,,,,,,2026-04-30,,,,
P-20260430-003,P-20260430-003: 3D打地鼠 V4 — 无尽模式,,active,PRJ-20260428-001,whack-a-mole-3d,,,,,,,,,,2026-04-30,,,,
P-20260430-004,P-20260430-004: 3D打地鼠 V4 — 成就系统,,active,PRJ-20260428-001,whack-a-mole-3d,,,,,,,,,,2026-04-30,,,,
P-20260430-005,P-20260430-005: 3D打地鼠 V4 — 音效+震动反馈,,active,PRJ-20260428-001,whack-a-mole-3d,,,,,,,,,,2026-04-30,,,,
P-20260430-006,,,active,PRJ-20260430-001,tower-baby-guard,,,,,,,,,,,,,,
P-20260430-007,,,active,PRJ-20260430-002,doc-editor,,,,,,,,,,,,,,
P-20250416-001,,,active,PRJ-20250416-001,todolist,,,,,,,,,,,,,,
P-20260502-012,PRD — P-20260502-012,,active,PRJ-20250416-001,todolist,,,,,,,,,,2026-05-02,,,,
P-20260502-014,,,active,PRJ-20250416-001,todolist,,,,,,,,,,,,,,
P-20260502-015,P-20260502-015: DBG卡牌游戏 V7 — 敌人与Boss扩充,,active,PRJ-20250416-001,todolist,,,,,,,,,,2026-05-02,,,,
P-20260502-016,P-20260502-016: DBG卡牌游戏 V8 — 卡牌升级系统,,active,PRJ-20250416-001,todolist,,,,,,,,,,2026-05-02,,,,
P-20260502-019,,,active,PRJ-20250416-001,todolist,,,,,,,,,,,,,,
P-20260503-020,PRD: DBG卡牌游戏 V38 — 新手教程 + 卡牌使用率追踪,,in_dev,PRJ-20250416-001,todolist,| 时机 | 内容 |,,,,,,,,,2026-05-03,,,,
P-20260503-024,,,active,PRJ-20250416-001,todolist,,,,,,,,,,,,,,
P-20260503-025,P-20260503-025: PixelPal V2 — 记忆持久化 + Companion 人格层,,active,PRJ-20250416-001,todolist,,,,,,,,,,2026-05-03,,,,
P-20260503-026,PRD: 技能版本管理系统,,active,PRJ-20250416-001,prj-proposals-manager,,workspace-pm/proposals/PRJ-20260417-001/P-20260503-026.md,,/home/hermes/.hermes/proposals/workspace-dev/proposals/prj-proposals-manager,,,,,,2026-05-03,,,,
P-20260503-027,PRD: creative-drawing-board V4 — 学习记录 + 贴纸编辑,,active,PRJ-20250416-001,todolist,,,,,,,,,,2026-05-03,,,,
P-20250416-002,,,active,PRJ-20250416-002,game-1024,,,,,,,,,,,,,,
P-20260502-007,Proposal Intake — P-20260502-007,,in_dev,PRJ-20250416-002,game-1024,,,,,,,,,,2026-05-02,,,,
P-20260502-008,Proposal Intake — P-20260502-008,,in_dev,PRJ-20250416-002,game-1024,,,,,,,,,,2026-05-02,,,,
P-20260502-009,PRD — P-20260502-009,,active,PRJ-20250416-002,game-1024,,,,,,,,,,2026-05-02,,,,
P-20260502-010,PRD — P-20260502-010,,active,PRJ-20250416-002,game-1024,,,,,,,,,,2026-05-02,,,,
P-20260502-011,PRD — P-20260502-011,,active,PRJ-20250416-002,game-1024,,,,,,,,,,2026-05-02,,,,
P-20260502-013,PRD — P-20260502-013,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-02,,,,
P-20260503-001,P-20260503-001: DBG卡牌游戏 V9 — 成就系统,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-02,,,,
P-20260503-002,P-20260503-002: DBG卡牌游戏 V10 — 章节扩展,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-02,,,,
P-20260503-003,P-20260503-003: DBG卡牌游戏 V11 — 更多遗物效果,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-004,P-20260503-004: DBG卡牌游戏 V12 — 音效与特效,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-005,P-20260503-005: DBG卡牌游戏 V13 — 牌组构建核心（Critical Bugfix）,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-006,P-20260503-006: DBG卡牌游戏 V14 — 卡牌商店重做,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-007,P-20260503-007: DBG卡牌游戏 V15 — 更多卡牌,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-008,P-20260503-008: DBG卡牌游戏 V16 — 卡组辅助系统,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-009,PRD — DBG卡牌游戏 V17 — 牌组管理系统 + 卡牌升级扩展,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-010,PRD — DBG卡牌游戏 V18 — 随机事件系统,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-011,PRD — DBG卡牌游戏 V19 — 多槽位存档系统,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-012,PRD — DBG卡牌游戏 V20 — 章节扩展 + Boss 战设计,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-013,PRD — DBG卡牌游戏 V21 — 移动端适配 + 触屏支持,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-014,PRD — DBG卡牌游戏 V22 — 音效与音乐扩展,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-015,PRD — DBG卡牌游戏 V23 — PWA 应用化,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-016,PRD — DBG卡牌游戏 V24 — 成就系统,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-017,PRD — DBG卡牌游戏 V25 — 宠物/同伴系统,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-03,,,,
P-20260503-018,PRD — P-20260503-018: prj-proposals-manager V3 — 甘特图视图,,active,PRJ-20260421-001,card-game-prototype,| 交付物 | 说明 |,,,,,,,,,2026-05-03,,,,
P-20260503-019,PRD — P-20260503-019: prj-proposals-manager V3 — 数据统计仪表板,,active,PRJ-20260421-001,card-game-prototype,| 交付物 | 说明 |,,,,,,,,,2026-05-03,,,,
P-20260508-001,P-20260508-001: 玩家数据持久化 & 跨会话成长系统,,archived,PRJ-20260419-007,ai-creator-h5,,,,,,,,,,2026-05-08,,,,
P-20260508-002,P-20260508-002: 创意工坊 & 社区生态,,archived,PRJ-20260419-007,ai-creator-h5,,,,,,,,,,2026-05-09,,,,
P-20260508-003,P-20260508-003: AI对手自进化引擎,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-09,,,,
P-20260508-005,P-20260508-005: 多人模式增强 — 实时对战/观战/录像,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-09,,,,
P-20260508-006,P-20260508-006: 新功能构思,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-09,,,,
P-20260509-008,PRD: android-hello V3.16.0 性能优化,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-10,,,,
P-20260509-009,P-20260509-009: 地图编辑器升级 — 可视化编辑 + 特殊格子,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-09,,,,
P-20260509-010,,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,,,,,
P-20260509-011,PRD: 策略进化 ↔ 模拟交易联动,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,2026-05-09,,,,
P-20260509-012,,,active,PRJ-20260421-001,card-game-prototype,,,,,,,,,,,,,,
P-20250418-003,,,active,PRJ-20250418-003,harness-desktop,,,,,,,,,,,,,,
P-20260510-001,,,delivered,PRJ-20250418-003,harness-desktop,,,,,,,,,,,,,,
P-20250417-001,,,active,PRJ-20260417-001,prj-proposals-manager,,,,,,,,,,,,,,
P-20260505-077,P-20260505-077: creative-drawing-board V54 — 社交分享,,archived,PRJ-20260417-001,prj-proposals-manager,,,,,,,,,,2026-05-05,,,,
P-20260503-028,PRD: creative-drawing-board V5 — 气泡游戏强化,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-03,,,,
P-20260503-038,PRD: creative-drawing-board V15 — 描红/模板内容大扩充,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-03,,,,
P-20260503-039,PRD: creative-drawing-board V16 — 绘画工具增强,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260503-040,PRD: creative-drawing-board V17 — 多语言支持,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260503-041,PRD: creative-drawing-board V18 — 气泡游戏改版,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260503-042,PRD: creative-drawing-board V19 — 农历/节日主题包,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260503-043,PRD: creative-drawing-board V20 — 打印功能增强,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260503-044,PRD: creative-drawing-board V21 — 画廊 + 社区分享,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260503-045,PRD: creative-drawing-board V22 — 更多游戏模式,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260503-046,PRD: creative-drawing-board V23 — 更多绘画工具,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260503-047,PRD: creative-drawing-board V24 — 动画制作,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260503-048,PRD: creative-drawing-board V25 — 音效/MIDI 制作,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-049,PRD: creative-drawing-board V26 — AR 绘画,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-050,PRD: creative-drawing-board V27 — 视频录制,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-051,PRD: creative-drawing-board V28 — 声音录制,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-052,PRD: creative-drawing-board V29 — 3D 绘画（简化版）,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-053,PRD: creative-drawing-board V30 — 粒子特效,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-054,PRD: creative-drawing-board V31 — 音频可视化,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-055,PRD: creative-drawing-board V32 — 增强现实贴纸,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-056,PRD: creative-drawing-board V33 — 智能建议,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-057,PRD: creative-drawing-board V34 — 手势识别,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-058,PRD: creative-drawing-board V35 — 好友系统,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-059,PRD: creative-drawing-board V36 — 成就系统,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-060,PRD: creative-drawing-board V37 — 主题商店,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-061,PRD: creative-drawing-board V38 — 每日挑战,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-062,PRD: creative-drawing-board V39 — 动画书,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-063,PRD: creative-drawing-board V40 — GIF 导出,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-064,PRD: creative-drawing-board V41 — 故事板时间轴,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-065,PRD: creative-drawing-board V42 — 预设动画模板,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-066,PRD: creative-drawing-board V43 — 更多动物动画模板,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-067,PRD: creative-drawing-board V44 — 配音变声特效,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-04,,,,
P-20260504-068,PRD: creative-drawing-board V45 — 模板分类浏览,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-05,,,,
P-20260504-069,PRD: creative-drawing-board V46 — 背景音乐叠加,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-05,,,,
P-20260505-078,P-20260505-078: creative-drawing-board V55 — 图层管理优化,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-05,,,,
P-20260506-079,P-20260506-079: creative-drawing-board V56 — 更多背景纹理/图案,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-05,,,,
P-20260506-080,P-20260506-080: creative-drawing-board V57 — 作品标签/分类系统,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-05,,,,
P-20260506-081,P-20260506-081: creative-drawing-board V58 — 橡皮擦增强（局部擦除/撤销）,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-05,,,,
P-20260506-082,P-20260506-082: creative-drawing-board V59 — 更多导出格式（PDF/SVG）,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-05,,,,
P-20260506-083,P-20260506-083: creative-drawing-board V60 — 撤销/重做增强（历史记录面板）,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-05,,,,
P-20260506-084,P-20260506-084: creative-drawing-board V61 — 模板搜索/排序功能,,active,PRJ-20260418-002,creative-drawing-board,,,,,,,,,,2026-05-05,,,,
P-20250420-001,,,active,PRJ-20260420-001,snake-battle,,,,,,,,,,,,,,
P-20260503-021,PRD: DBG卡牌游戏 V39 — Combo系统 + BossRush + 宠物技能树,,active,PRJ-20260420-001,snake-battle,,,,,,,,,,2026-05-03,,,,
P-20260503-022,P-20260503-022 PRD — 战斗奖励系统 + 卡牌升级,,active,PRJ-20260420-001,snake-battle,,,,,,,,,,2026-05-03,,,,
P-20260503-023,,,active,PRJ-20260420-001,snake-battle,,,,,,,,,,,,,,
P-20260412-008,,,active,PRJ-20260412-008,ai-subscription,,,,,,,,,,,,,,
P-20260502-017,PRD: ai-subscription — 大模型调用层升级 (llm-design-dev),,in_dev,PRJ-20260412-008,ai-subscription,| 内容 | 产出 |,,,,,,,,,2026-05-02,,,,
P-20260505-005,PRD: ai-stock-simulation 多策略对比,,in_dev,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-05,,,,
P-20260505-006,P-20260505-006 策略参数优化面板 PRD,,in_dev,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-05,,,,
P-20260505-007,P-20260505-007 真实K线数据对接 PRD,,in_dev,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-05,,,,
P-20260505-008,P-20260505-008: 回测报告导出增强,,in_dev,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-05,,,,
P-20260505-009,P-20260505-009: 持仓/交易历史持久化,,in_dev,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-05,,,,
P-20260505-010,PRD: ai-subscription — 键盘快捷键,,in_dev,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-05,,,,
P-20260505-011,PRDV3 — 家庭圈（Family Circle）,,in_dev,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-05,,,,
P-20260505-013,PRD: ai-subscription — 订阅源批量管理,,active,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-05,,,,
P-20260506-001,PRD: PixelPal V20 — 智能体(Agent)框架,,active,PRJ-20260412-008,ai-subscription,| 内容 | 交付物 |,,,,,,,,,2026-05-06,,,,
P-20260506-002,PRD: PixelPal V21 情感计算引擎 v2,,active,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-06,,,,
P-20260506-003,Intake: PixelPal V22 — 深度个性化学习系统,,active,PRJ-20260412-008,ai-subscription,| 内容 | 验收方式 |,,,,,,,,,2026-05-06,,,,
P-20260506-004,P-20260506-004 真实K线数据对接 PRD,,active,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-06,,,,
P-20260506-005,P-20260506-005 回测报告导出增强 PRD,,active,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-06,,,,
P-20260506-006,P-20260506-006 持仓/交易历史持久化 PRD,,active,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-06,,,,
P-20260506-007,PRD: ai-subscription API 开放,,active,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-06,,,,
P-20260506-008,PRD: ai-subscription 智能摘要增强,,active,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-06,,,,
P-20260506-009,PRD: ai-subscription 自动化工作流,,active,PRJ-20260412-008,ai-subscription,,,,,,,,,,2026-05-06,,,,
P-20260506-010,,,in_dev,PRJ-20260420-002,pixel-pal-web,,,,,,,,,,,,,,
P-20260507-001,PRD: AI Novel Assistant 结构化大纲系统,,active,PRJ-20260420-002,pixel-pal-web,,,,,,,,,,2026-05-07,,,,
P-20260507-002,P-20260507-002: 真实K线数据 - Yahoo Finance API 对接,,active,PRJ-20260420-002,pixel-pal-web,,,,,,,,,,2026-05-07,,,,
P-20260507-003,PRD: PixelPal V42 — 协作系统深度化,,active,PRJ-20260420-002,pixel-pal-web,,,,,,,,,,2026-05-07,,,,
P-20260511-001,,,active,PRJ-20260511-003,astrbot-design,,,,,,,,,,,,,,
P-20260511-002,,,active,PRJ-20260511-004,autoagent-design,,,,,,,,,,,,,,
P-20260511-003,,,active,PRJ-20260511-005,bmad-method-design,,,,,,,,,,,,,,
